Applicant,State,Vertical,Proposed Employment,Sector
Panacea Medical Technologies Pvt Ltd,Karnataka,A4-Health and Medical Electronics ,326,Medical Electronics
Panasonic India Private Limited,Haryana,A19-Consumer Appliances,997,Consumer Appliances
Panasonic India Private Limited,Haryana,A19-Consumer Appliances,997,Consumer Appliances
Perfect ID India Private Limited,Uttar pradesh,A17-Bio-metric and identity devices/RFID: Smart Card manufacturing and personalization,9,IT & Telecom
Perto India Private Limited,Rajasthan,"A2-IT Hardware products : Automatic Teller Machines (ATMs), etc.*",867,IT & Telecom
Positive Packaging Industries Limited,Karnataka,B8-Electromechanical Components and Mechanical Parts ,100,Components & accessories 
pranav,Uttar Pradesh,B8-Electromechanical Components and Mechanical Parts ,73,Components & accessories 
Pratap Digital Communications Private Limited,Madhya Pradesh,A1-Telecom Products,287,IT & Telecom
Pratap Digital Communications Private Limited,Madhya Pradesh,A1-Telecom Products,100,IT & Telecom
Premier Solar Systems Pvt Ltd (Premier Energies Limited),Telangana,"A6-Solar Photovoltaic including thin film, polysilicon etc",155,Solar
Radix Electrosystems Pvt Ltd,Maharashtra,A1-Telecom products,293,Industrial ELectronics
Rashmi Rare Earth Limited,Uttar Pradesh,C-Electronic Manufaacturing Services,1403,Electronic Manufacturing Services
Renewsis India Pvt Ltd ,Karnataka and Telangana,"A6-Solar Photovoltaic including thin film, polysilicon etc",1919,Solar
Renu Electronics Pvt. Ltd.,Maharashtra,A1-Telecom Products,101,Industrial Electronics
Robonik India Pvt. Ltd,Maharashtra,A4-Health and Medical Electronics ,200,Medical Electronics
Saatvik Green Energy Private Limited,Haryana,"A6-Solar Photovoltaic including thin film, polysilicon etc",128,Solar
Sahajanand Laser Technology Ltd,Gujarat,A1-Telecom Products,115,Industrial Electronics
Sahasra Electronics Pvt Ltd.,Uttar Pradesh,A7-Light Emitting Diode (LEDs),25,LED
Sahasra Electronics Pvt. Ltd.,Rajasthan,C-Electronic Manufaacturing Services,500,Electronic Manufacturing Services
Sakura Premier Solar Private Limited (Premier Energies Photovoltaic Private Limited),Telangana,"A6-Solar Photovoltaic including thin film, polysilicon etc",456,Solar
Salcomp Manufacturing India Private Limited,Tamil Nadu and Uttar Pradesh,B9-Consummable & Accessories,9085,Mobile & Accessories
Samsung India Electronics Private Limited,Uttar Pradesh,"A1-Telecom products
A19-Consumer Appliances",425,Mobile & Accessories
Sandhar Technologies Ltd.,Haryana,B8-Electromechanical Components and Mechanical Parts ,61,Automotive Electronics
Sandhar Whetron Electronics Private Limited,Haryana,A13-Automotive Electronics,212,Automotive Electronics
Satkriti Infotainment Private Limited,Uttar Pradesh,A19-Consumer Appliances,800,Consumer Appliances
Secure Meters Limited,Rajasthan,A10-Industrial Electronics Products,985,Industrial Electronics
Secure Meters Limited,Gujarat,A10-Industrial Electronics Products,1853,Industrial Electronics
Sedemac Mechatronics Private Limited,Maharashtra,A13-Automotive Electronics,95,Automotive Electronics
Sedemac Mechatronics Private Limited,Maharashtra,A13-Automotive Electronics,174,Automotive Electronics
Sedemac Mechatronics Private Limited,Maharashtra,A13-Automotive Electronics,95,Automotive Electronics
Selec Controls Pvt Ltd,Maharashtra,A10-Industrial Electronics Products,250,Industrial Electronics
Seoyon Electronics India Private Limited,TAMIL NADU,A13-Automotive Electronics,516,Automotive Electronics
SFO Technologies Private Limited,Kerala,C-Electronic Manufaacturing Services,9759,IT & Telecom
SGS Tekniks Manufacturing Pvt. Ltd,Haryana,A13-Automotive Electronics,850,Automotive Electronics
SGS Tekniks Manufacturing Pvt. Ltd,Karnataka,C-Electronic Manufaacturing Services,67,Electronic Manufacturing Services
SGS Tekniks Manufacturing Pvt. Ltd.,Haryana,C-Electronic Manufaacturing Services,412,Electronic Manufacturing Services
Shakti Pumps India Ltd.,Madhya Pradesh,"A18-Power supplies for ESDM products
A10-Industrial Electronic
B8-Electromechanical Components and Mechanical Parts ",180,Industrial Electronics
Shogini Technoarts Pvt Ltd,Maharashtra,B8-Electromechanical Components and Mechanical Parts ,1180,Printed Cicuit Board
Siemens Limited,Maharashtra,B8-Electromechanical Components and Mechanical Parts ,346,Components & accessories 
Siemens Limited,Goa,A10-Industrial Electronics Products,208,Components & accessories 
Signum Electrowave,Himachal Pradesh,B8-Electromechanical Components and Mechanical Parts ,674,Printed Cicuit Board
Smart Card It Solutions Ltd,Maharashtra,A17-Bio-metric and identity devices/RFID: Smart Card manufacturing and personalization,570,IT & Telecom
Sonodyne Technologies Pvt Ltd,West Bangal,A3-Consumer Electronics,135,Consumer Electronics
Srilin Electronics Private Limited,Telangana,C-Electronic Manufaacturing Services,104,Electronic Manufacturing Services
Star Engineers (I) Pvt. Ltd.,Maharashtra,A13-Automotive Electronics,62,Automotive Electronics
Sterlite Technologies Limited,Maharashtra and Dadra & Nagar Haveli,A1-Telecom Products,2929,IT & Telecom
Sterlite Technologies Limited,Gujarat,A1-Telecom Products,240,IT & Telecom
Super Electro Films Limited,Haryana,E-Raw material exclusively for electronic products,21,Components & accessories 
Surbhi Satcom Private Limited,Uttar Pradesh,C-Electronic Manufaacturing Services,54,Electronic Manufacturing Services
Surya International,Odisha,"A6-Solar Photovoltaic including thin film, polysilicon etc",213,solar
Syndicate Printers Ltd (SIVA Inotec Limited),Goa,A17-Bio-metric and identity devices/RFID: Smart Card manufacturing and personalization,103,IT & Telecom
Syrma Technology Pvt Ltd,Tamil Nadu,C-Electronic Manufaacturing Services,1725,Electronic Manufacturing Services
Syscom Corp.(P) Ltd,Uttar Pradesh,A17-Bio-metric and identity devices/RFID: Smart Card manufacturing and personalization,544,IT & Telecom
TATA Power SED,Karnataka and Maharashtra,"A1-Telecom products 
 A5-Strategic Electronics
A9- Avionics
A16-Opto electronics
A18- Power supplies for ESDM products
",1700,Strategic Electronics
Tata Power Solar Systems Ltd.,Karnataka,"A6-Solar Photovoltaic including thin film, polysilicon etc",195,Solar
